Time	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8
Seconds	( °C )	( °C )	( °C )	( °C )	( °C )	( °C )	( °C )	( °C )
0	22.48	22.47	22.43	22.32	22.12	22.40	22.44	22.38
1	22.48	22.48	22.43	22.32	22.11	22.41	22.45	22.40
2	22.48	22.47	22.44	22.33	22.12	22.41	22.45	22.41
3	22.49	22.47	22.44	22.34	22.11	22.41	22.46	22.40
4	22.49	22.48	22.44	22.35	22.12	22.41	22.46	22.41
5	22.49	22.48	22.44	22.34	22.12	22.41	22.46	22.40
6	22.48	22.47	22.43	22.34	22.11	22.40	22.44	22.39
7	22.48	22.47	22.43	22.35	22.10	22.40	22.45	22.39
8	22.49	22.48	22.42	22.34	22.10	22.40	22.44	22.40
9	22.48	22.47	22.43	22.33	22.11	22.40	22.45	22.42
10	22.49	22.48	22.43	22.34	22.10	22.40	22.45	22.41
11	22.49	22.48	22.44	22.33	22.11	22.40	22.45	22.41
12	22.48	22.48	22.42	22.32	22.11	22.41	22.45	22.42
13	22.49	22.48	22.43	22.33	22.12	22.41	22.45	22.41
14	22.48	22.47	22.42	22.33	22.11	22.40	22.44	22.40
15	22.48	22.46	22.42	22.32	22.11	22.40	22.44	22.40
16	22.48	22.48	22.43	22.34	22.12	22.40	22.46	22.41
17	22.48	22.47	22.43	22.34	22.11	22.39	22.45	22.42
18	22.49	22.47	22.42	22.33	22.12	22.40	22.46	22.42
19	22.49	22.48	22.43	22.34	22.12	22.41	22.46	22.40
20	22.49	22.48	22.44	22.34	22.12	22.41	22.46	22.40
21	22.49	22.48	22.43	22.33	22.12	22.40	22.46	22.41
22	22.49	22.48	22.43	22.33	22.13	22.40	22.45	22.41
23	22.49	22.48	22.44	22.34	22.12	22.41	22.45	22.39
24	22.49	22.48	22.43	22.33	22.11	22.41	22.45	22.39
25	22.49	22.48	22.43	22.33	22.12	22.41	22.46	22.42
26	22.49	22.49	22.44	22.34	22.12	22.41	22.46	22.42
